review_id	prob_failure
rB157	0.9224339127540588
rA244	0.9662394523620605
rA090	0.9703561663627625
rA232	0.9721009731292725
rA129	0.9661351442337036
rB242	0.8926119208335876
rA268	0.8941802382469177
rA219	0.9701308012008667
rB160	0.9054198861122131
rA255	0.9162828326225281
rA073	0.9702321887016296
rB305	0.911538302898407
rA256	0.9119426608085632
rAX051	0.014894114807248116
rA289	0.9252634644508362
rA214	0.9681738018989563
rA116	0.9108821153640747
rB193	0.9099534749984741
rAX092	0.016462571918964386
rA122	0.9691981673240662
rA275	0.8964563012123108
rB397	0.9729517102241516
rB222	0.9197814464569092
rA246	0.9646269083023071
rA238	0.9654728770256042
rA363	0.8901318907737732
rA379	0.8912900686264038
rB204	0.9233070611953735
rB378	0.9651606678962708
rA226	0.9661546349525452
rB025	0.9665610194206238
rBX031	0.06359276920557022
rB338	0.9696899056434631
rB339	0.9313284158706665
rA369	0.9040474891662598
rA392	0.8966431021690369
rB316	0.9693337082862854
rAX002	0.005754812620580196
rBX018	0.2117067128419876
rA142	0.9237965941429138
rA362	0.9345241189002991
rAX006	0.21106857061386108
rA031	0.9089506268501282
rB263	0.9637014865875244
rB089	0.914480984210968
rB239	0.973285436630249
rB229	0.962765634059906
rA373	0.9150347113609314
rAX027	0.011304037645459175
rAX052	0.23691007494926453
